country,year,variable,value
AUS,2002,flfpr,55.355
AUS,2003,flfpr,56.013
AUS,2004,flfpr,55.774
AUS,2005,flfpr,57.048
AUS,2006,flfpr,57.582
AUS,2007,flfpr,58.135
AUS,2008,flfpr,58.603
AUS,2009,flfpr,58.792
AUS,2010,flfpr,58.676
AUS,2011,flfpr,58.931
AUS,2012,flfpr,58.833
AUS,2013,flfpr,58.739
AUS,2014,flfpr,58.704
AUS,2015,flfpr,59.151
AUS,2016,flfpr,59.381
AUS,2017,flfpr,59.877
AUS,2018,flfpr,60.523
AUS,2019,flfpr,60.959
AUS,2020,flfpr,60.205
AUS,2021,flfpr,61.273
AUS,2022,flfpr,62.314
AUS,2023,flfpr,62.374
AUS,1960,gdp_capita_const,19905.3134669222
AUS,1961,gdp_capita_const,19997.5450015954
AUS,1962,gdp_capita_const,19767.9570765171
AUS,1963,gdp_capita_const,20597.9260588196
AUS,1964,gdp_capita_const,21607.4922239031
AUS,1965,gdp_capita_const,22455.2509839049
AUS,1966,gdp_capita_const,22470.5176072033
AUS,1967,gdp_capita_const,23587.6281171848
AUS,1968,gdp_capita_const,24355.6282531611
AUS,1969,gdp_capita_const,25531.5365288498
AUS,1970,gdp_capita_const,26829.7630995603
AUS,1971,gdp_capita_const,26975.665521972
AUS,1972,gdp_capita_const,27520.0005055853
AUS,1973,gdp_capita_const,27812.4455074509
AUS,1974,gdp_capita_const,28231.0239084901
AUS,1975,gdp_capita_const,28258.0654813537
AUS,1976,gdp_capita_const,28700.2946314702
AUS,1977,gdp_capita_const,29399.0024788699
AUS,1978,gdp_capita_const,29318.7463550853
AUS,1979,gdp_capita_const,30178.3894488631
AUS,1980,gdp_capita_const,30717.7780327511
AUS,1981,gdp_capita_const,31251.8203349363
AUS,1982,gdp_capita_const,31736.0447520616
AUS,1983,gdp_capita_const,30608.3684024318
AUS,1984,gdp_capita_const,31632.3892749783
AUS,1985,gdp_capita_const,32861.4162378766
AUS,1986,gdp_capita_const,33674.1705521479
AUS,1987,gdp_capita_const,34014.7354121968
AUS,1988,gdp_capita_const,35389.4553320904
AUS,1989,gdp_capita_const,36143.1477787181
AUS,1990,gdp_capita_const,36886.1444273767
AUS,1991,gdp_capita_const,36279.7540525751
AUS,1992,gdp_capita_const,36029.4845675544
AUS,1993,gdp_capita_const,37155.5123959647
AUS,1994,gdp_capita_const,38264.146671105
AUS,1995,gdp_capita_const,39310.7982327944
AUS,1996,gdp_capita_const,40337.1060519133
AUS,1997,gdp_capita_const,41464.4982180697
AUS,1998,gdp_capita_const,42967.6616681962
AUS,1999,gdp_capita_const,44636.9418129494
AUS,2000,gdp_capita_const,45859.5162097045
AUS,2001,gdp_capita_const,46191.3142366289
AUS,2002,gdp_capita_const,47486.2783216389
AUS,2003,gdp_capita_const,48394.1269478095
AUS,2004,gdp_capita_const,49902.0187022536
AUS,2005,gdp_capita_const,50853.1976727529
AUS,2006,gdp_capita_const,51553.9685966991
AUS,2007,gdp_capita_const,52531.7611201084
AUS,2008,gdp_capita_const,53336.1012157008
AUS,2009,gdp_capita_const,53237.0077642312
AUS,2010,gdp_capita_const,53578.8125049759
AUS,2011,gdp_capita_const,54111.357240336
AUS,2012,gdp_capita_const,55257.5739287362
AUS,2013,gdp_capita_const,55728.0174035719
AUS,2014,gdp_capita_const,56327.8533063277
AUS,2015,gdp_capita_const,56739.0265346593
AUS,2016,gdp_capita_const,57401.0662268939
AUS,2017,gdp_capita_const,57750.6482221688
AUS,2018,gdp_capita_const,58530.7821697117
AUS,2019,gdp_capita_const,58924.733646242
AUS,2020,gdp_capita_const,58132.798523626
AUS,2021,gdp_capita_const,59276.503107197
AUS,2022,gdp_capita_const,61009.8077147403
AUS,2023,gdp_capita_const,61598.1776089916
AUS,1995,gini_index,32.6
AUS,2001,gini_index,33.5
AUS,2003,gini_index,33.5
AUS,2004,gini_index,33.1
AUS,2008,gini_index,35.4
AUS,2010,gini_index,34.7
AUS,2014,gini_index,34.4
AUS,2016,gini_index,33.7
AUS,2018,gini_index,34.3
AUS,2020,gini_index,33.8
AUS,1960,net_migration,85707
AUS,1961,net_migration,64495
AUS,1962,net_migration,58315
AUS,1963,net_migration,73237
AUS,1964,net_migration,91588
AUS,1965,net_migration,118891
AUS,1966,net_migration,110864
AUS,1967,net_migration,80904
AUS,1968,net_migration,100963
AUS,1969,net_migration,108770
AUS,1970,net_migration,256295
AUS,1971,net_migration,223991
AUS,1972,net_migration,54895
AUS,1973,net_migration,62928
AUS,1974,net_migration,56167
AUS,1975,net_migration,25336
AUS,1976,net_migration,32792
AUS,1977,net_migration,44946
AUS,1978,net_migration,45832
AUS,1979,net_migration,52137
AUS,1980,net_migration,89189
AUS,1981,net_migration,121921
AUS,1982,net_migration,111722
AUS,1983,net_migration,73251
AUS,1984,net_migration,79617
AUS,1985,net_migration,98327
AUS,1986,net_migration,113061
AUS,1987,net_migration,136421
AUS,1988,net_migration,153330
AUS,1989,net_migration,144042
AUS,1990,net_migration,100093
AUS,1991,net_migration,68847
AUS,1992,net_migration,40767
AUS,1993,net_migration,23833
AUS,1994,net_migration,51941
AUS,1995,net_migration,80456
AUS,1996,net_migration,82965
AUS,1997,net_migration,67661
AUS,1998,net_migration,81310
AUS,1999,net_migration,92900
AUS,2000,net_migration,111186
AUS,2001,net_migration,117552
AUS,2002,net_migration,108852
AUS,2003,net_migration,104437
AUS,2004,net_migration,110072
AUS,2005,net_migration,131371
AUS,2006,net_migration,191985
AUS,2007,net_migration,249873
AUS,2008,net_migration,275773
AUS,2009,net_migration,235628
AUS,2010,net_migration,166752
AUS,2011,net_migration,197657
AUS,2012,net_migration,235776
AUS,2013,net_migration,215823
AUS,2014,net_migration,200177
AUS,2015,net_migration,212350
AUS,2016,net_migration,254648
AUS,2017,net_migration,255023
AUS,2018,net_migration,226412
AUS,2019,net_migration,207142
AUS,2020,net_migration,44447
AUS,2021,net_migration,116768
AUS,2022,net_migration,140972
AUS,2023,net_migration,140232
AUS,1960,total_population,10276477
AUS,1961,total_population,10483000
AUS,1962,total_population,10742000
AUS,1963,total_population,10950000
AUS,1964,total_population,11167000
AUS,1965,total_population,11388000
AUS,1966,total_population,11651000
AUS,1967,total_population,11799000
AUS,1968,total_population,12009000
AUS,1969,total_population,12263000
AUS,1970,total_population,12507000
AUS,1971,total_population,12937000
AUS,1972,total_population,13177000
AUS,1973,total_population,13380000
AUS,1974,total_population,13723000
AUS,1975,total_population,13893000
AUS,1976,total_population,14033000
AUS,1977,total_population,14192000
AUS,1978,total_population,14358000
AUS,1979,total_population,14514000
AUS,1980,total_population,14692000
AUS,1981,total_population,14923260
AUS,1982,total_population,15184247
AUS,1983,total_population,15393472
AUS,1984,total_population,15579391
AUS,1985,total_population,15788312
AUS,1986,total_population,16018350
AUS,1987,total_population,16263874
AUS,1988,total_population,16532164
AUS,1989,total_population,16814416
AUS,1990,total_population,17065128
AUS,1991,total_population,17284036
AUS,1992,total_population,17478635
AUS,1993,total_population,17634808
AUS,1994,total_population,17805468
AUS,1995,total_population,18004882
AUS,1996,total_population,18224767
AUS,1997,total_population,18423037
AUS,1998,total_population,18607584
AUS,1999,total_population,18812264
AUS,2000,total_population,19028802
AUS,2001,total_population,19274701
AUS,2002,total_population,19495210
AUS,2003,total_population,19720737
AUS,2004,total_population,19932722
AUS,2005,total_population,20176844
AUS,2006,total_population,20450966
AUS,2007,total_population,20827622
AUS,2008,total_population,21249199
AUS,2009,total_population,21691653
AUS,2010,total_population,22031750
AUS,2011,total_population,22340024
AUS,2012,total_population,22733465
AUS,2013,total_population,23128129
AUS,2014,total_population,23475686
AUS,2015,total_population,23815995
AUS,2016,total_population,24190907
AUS,2017,total_population,24592588
AUS,2018,total_population,24963258
AUS,2019,total_population,25334826
AUS,2020,total_population,25649248
AUS,2021,total_population,25685412
AUS,2022,total_population,26014399
AUS,2023,total_population,26652777
BRA,1991,emp_to_pop,60.258
BRA,1992,emp_to_pop,60.377
BRA,1993,emp_to_pop,61.293
BRA,1994,emp_to_pop,61.147
BRA,1995,emp_to_pop,61.006
BRA,1996,emp_to_pop,58.811
BRA,1997,emp_to_pop,58.954
BRA,1998,emp_to_pop,58.332
BRA,1999,emp_to_pop,58.297
BRA,2000,emp_to_pop,58.641
BRA,2001,emp_to_pop,59.002
BRA,2002,emp_to_pop,59.849
BRA,2003,emp_to_pop,59.427
BRA,2004,emp_to_pop,60.579
BRA,2005,emp_to_pop,60.87
BRA,2006,emp_to_pop,61.143
BRA,2007,emp_to_pop,61.05
BRA,2008,emp_to_pop,61.619
BRA,2009,emp_to_pop,61.052
BRA,2010,emp_to_pop,60.574
BRA,2011,emp_to_pop,59.955
BRA,2012,emp_to_pop,59.739
BRA,2013,emp_to_pop,59.766
BRA,2014,emp_to_pop,59.714
BRA,2015,emp_to_pop,58.787
BRA,2016,emp_to_pop,56.845
BRA,2017,emp_to_pop,56.271
BRA,2018,emp_to_pop,56.549
BRA,2019,emp_to_pop,57.142
BRA,2020,emp_to_pop,52.195
BRA,2021,emp_to_pop,54.238
BRA,2022,emp_to_pop,57.663
BRA,2023,emp_to_pop,57.915
BRA,1960,fertility_rate,6.051
BRA,1961,fertility_rate,6.022
BRA,1962,fertility_rate,5.984
BRA,1963,fertility_rate,5.93
BRA,1964,fertility_rate,5.818
BRA,1965,fertility_rate,5.677
BRA,1966,fertility_rate,5.516
BRA,1967,fertility_rate,5.336
BRA,1968,fertility_rate,5.165
BRA,1969,fertility_rate,5.041
BRA,1970,fertility_rate,4.934
BRA,1971,fertility_rate,4.838
BRA,1972,fertility_rate,4.735
BRA,1973,fertility_rate,4.638
BRA,1974,fertility_rate,4.502
BRA,1975,fertility_rate,4.415
BRA,1976,fertility_rate,4.339
BRA,1977,fertility_rate,4.267
BRA,1978,fertility_rate,4.195
BRA,1979,fertility_rate,4.12
BRA,1980,fertility_rate,4.037
BRA,1981,fertility_rate,3.943
BRA,1982,fertility_rate,3.838
BRA,1983,fertility_rate,3.723
BRA,1984,fertility_rate,3.6
BRA,1985,fertility_rate,3.48
BRA,1986,fertility_rate,3.361
BRA,1987,fertility_rate,3.232
BRA,1988,fertility_rate,3.112
BRA,1989,fertility_rate,3.007
BRA,1990,fertility_rate,2.896
BRA,1991,fertility_rate,2.805
BRA,1992,fertility_rate,2.71
BRA,1993,fertility_rate,2.66
BRA,1994,fertility_rate,2.603
BRA,1995,fertility_rate,2.567
BRA,1996,fertility_rate,2.511
BRA,1997,fertility_rate,2.468
BRA,1998,fertility_rate,2.418
BRA,1999,fertility_rate,2.335
BRA,2000,fertility_rate,2.247
BRA,2001,fertility_rate,2.162
BRA,2002,fertility_rate,2.081
BRA,2003,fertility_rate,2.006
BRA,2004,fertility_rate,1.973
BRA,2005,fertility_rate,1.942
BRA,2006,fertility_rate,1.896
BRA,2007,fertility_rate,1.854
BRA,2008,fertility_rate,1.815
BRA,2009,fertility_rate,1.799
BRA,2010,fertility_rate,1.786
BRA,2011,fertility_rate,1.777
BRA,2012,fertility_rate,1.766
BRA,2013,fertility_rate,1.761
BRA,2014,fertility_rate,1.775
BRA,2015,fertility_rate,1.777
BRA,2016,fertility_rate,1.727
BRA,2017,fertility_rate,1.74
BRA,2018,fertility_rate,1.744
BRA,2019,fertility_rate,1.705
BRA,2020,fertility_rate,1.653
BRA,2021,fertility_rate,1.638
BRA,2022,fertility_rate,1.629
BRA,2023,fertility_rate,1.619
BRA,1990,flfpr,44.417
BRA,1991,flfpr,44.487
BRA,1992,flfpr,45.604
BRA,1993,flfpr,46.718
BRA,1994,flfpr,47.821
BRA,1995,flfpr,48.916
BRA,1996,flfpr,47.676
BRA,1997,flfpr,48.677
BRA,1998,flfpr,49.48
BRA,1999,flfpr,50.801
BRA,2000,flfpr,51.851
BRA,2001,flfpr,52.957
BRA,2002,flfpr,54.57
BRA,2003,flfpr,54.776
BRA,2004,flfpr,55.643
BRA,2005,flfpr,56.859
BRA,2006,flfpr,56.546
BRA,2007,flfpr,56.286
BRA,2008,flfpr,56.039
BRA,2009,flfpr,56.566
BRA,2010,flfpr,55.049
BRA,2011,flfpr,53.517
BRA,2012,flfpr,52.873
BRA,2013,flfpr,52.826
BRA,2014,flfpr,52.714
BRA,2015,flfpr,53.323
BRA,2016,flfpr,53.522
BRA,2017,flfpr,54.353
BRA,2018,flfpr,54.581
BRA,2019,flfpr,55.306
BRA,2020,flfpr,50.338
BRA,2021,flfpr,52.482
BRA,2022,flfpr,53.864
BRA,2023,flfpr,53.205
BRA,1960,gdp_capita_const,2603.51901042994
BRA,1961,gdp_capita_const,2743.38888844205
BRA,1962,gdp_capita_const,2838.47229916639
BRA,1963,gdp_capita_const,2772.5799490463
BRA,1964,gdp_capita_const,2785.07443212682
BRA,1965,gdp_capita_const,2772.67176390786
BRA,1966,gdp_capita_const,2878.69979349639
BRA,1967,gdp_capita_const,2921.3724263796
BRA,1968,gdp_capita_const,3126.53548183139
BRA,1969,gdp_capita_const,3338.76247436022
BRA,1970,gdp_capita_const,3595.95086280878
BRA,1971,gdp_capita_const,3907.01225977893
BRA,1972,gdp_capita_const,4268.38384697753
BRA,1973,gdp_capita_const,4748.26246385619
BRA,1974,gdp_capita_const,5013.81724730208
BRA,1975,gdp_capita_const,5148.9106187339
BRA,1976,gdp_capita_const,5543.43637942576
BRA,1977,gdp_capita_const,5679.78590996985
BRA,1978,gdp_capita_const,5821.49131249962
BRA,1979,gdp_capita_const,6069.05474310333
BRA,1980,gdp_capita_const,6472.85214591952
BRA,1981,gdp_capita_const,6055.09781428103
BRA,1982,gdp_capita_const,5967.77899586532
BRA,1983,gdp_capita_const,5664.96368501244
BRA,1984,gdp_capita_const,5841.74986464143
BRA,1985,gdp_capita_const,6167.51343658643
BRA,1986,gdp_capita_const,6494.28087914562
BRA,1987,gdp_capita_const,6591.60882870649
BRA,1988,gdp_capita_const,6463.00545238554
BRA,1989,gdp_capita_const,6545.42575572846
BRA,1990,gdp_capita_const,6149.86788926381
BRA,1991,gdp_capita_const,6107.64883675747
BRA,1992,gdp_capita_const,5973.98285622586
BRA,1993,gdp_capita_const,6167.46092178931
BRA,1994,gdp_capita_const,6427.16901943704
BRA,1995,gdp_capita_const,6596.33572674819
BRA,1996,gdp_capita_const,6640.7270065575
BRA,1997,gdp_capita_const,6764.85842091319
BRA,1998,gdp_capita_const,6687.49523550242
BRA,1999,gdp_capita_const,6621.63676249539
BRA,2000,gdp_capita_const,6817.784240857
BRA,2001,gdp_capita_const,6823.03396999891
BRA,2002,gdp_capita_const,6944.62337495755
BRA,2003,gdp_capita_const,6941.4404574508
BRA,2004,gdp_capita_const,7258.78185165912
BRA,2005,gdp_capita_const,7409.56913232718
BRA,2006,gdp_capita_const,7622.04007133264
BRA,2007,gdp_capita_const,8003.25413096047
BRA,2008,gdp_capita_const,8330.76459841304
BRA,2009,gdp_capita_const,8246.09706995094
BRA,2010,gdp_capita_const,8792.63436120342
BRA,2011,gdp_capita_const,9067.99316348047
BRA,2012,gdp_capita_const,9167.49923929815
BRA,2013,gdp_capita_const,9366.73932434359
BRA,2014,gdp_capita_const,9338.34278278114
BRA,2015,gdp_capita_const,8936.19661712113
BRA,2016,gdp_capita_const,8577.84376650911
BRA,2017,gdp_capita_const,8628.25308908043
BRA,2018,gdp_capita_const,8722.33630317935
BRA,2019,gdp_capita_const,8771.44051292177
BRA,2020,gdp_capita_const,8435.01143254978
BRA,2021,gdp_capita_const,8799.22945810901
BRA,2022,gdp_capita_const,9032.08481566299
BRA,2023,gdp_capita_const,9288.02701470069
BRA,1992,gini_index,53.1
BRA,1993,gini_index,60.1
BRA,1995,gini_index,59.5
BRA,1996,gini_index,59.8
BRA,1997,gini_index,59.8
BRA,1998,gini_index,59.6
BRA,1999,gini_index,59
BRA,2001,gini_index,58.4
BRA,2002,gini_index,58.1
BRA,2003,gini_index,57.6
BRA,2004,gini_index,56.5
BRA,2005,gini_index,56.3
BRA,2006,gini_index,55.6
BRA,2007,gini_index,54.9
BRA,2008,gini_index,54
BRA,2009,gini_index,53.7
BRA,2011,gini_index,52.9
BRA,2012,gini_index,53.4
BRA,2013,gini_index,52.7
BRA,2014,gini_index,52
BRA,2015,gini_index,51.9
BRA,2016,gini_index,53.4
BRA,2017,gini_index,53.3
BRA,2018,gini_index,53.9
BRA,2019,gini_index,53.5
BRA,2020,gini_index,48.9
BRA,2021,gini_index,52.9
BRA,2022,gini_index,52
BRA,2023,gini_index,51.6
BRA,1960,net_migration,4066
BRA,1961,net_migration,75
BRA,1962,net_migration,-7171
BRA,1963,net_migration,-8136
BRA,1964,net_migration,-8146
BRA,1965,net_migration,-8824
BRA,1966,net_migration,-9317
BRA,1967,net_migration,-10033
BRA,1968,net_migration,-8856
BRA,1969,net_migration,-7763
BRA,1970,net_migration,-18779
BRA,1971,net_migration,-23421
BRA,1972,net_migration,-23584
BRA,1973,net_migration,-24071
BRA,1974,net_migration,-24093
BRA,1975,net_migration,-25499
BRA,1976,net_migration,-20612
BRA,1977,net_migration,-19478
BRA,1978,net_migration,-23416
BRA,1979,net_migration,-32503
BRA,1980,net_migration,-38918
BRA,1981,net_migration,-65971
BRA,1982,net_migration,-90766
BRA,1983,net_migration,-76322
BRA,1984,net_migration,-70035
BRA,1985,net_migration,-60879
BRA,1986,net_migration,-90973
BRA,1987,net_migration,-77800
BRA,1988,net_migration,-72825
BRA,1989,net_migration,-60023
BRA,1990,net_migration,-30555
BRA,1991,net_migration,-66600
BRA,1992,net_migration,14394
BRA,1993,net_migration,-69070
BRA,1994,net_migration,-68961
BRA,1995,net_migration,-69963
BRA,1996,net_migration,-71943
BRA,1997,net_migration,-72392
BRA,1998,net_migration,21666
BRA,1999,net_migration,-23497
BRA,2000,net_migration,-45800
BRA,2001,net_migration,-51600
BRA,2002,net_migration,-42008
BRA,2003,net_migration,-55350
BRA,2004,net_migration,-76661
BRA,2005,net_migration,-88868
BRA,2006,net_migration,-90634
BRA,2007,net_migration,-107481
BRA,2008,net_migration,-141056
BRA,2009,net_migration,-220207
BRA,2010,net_migration,-261539
BRA,2011,net_migration,-235860
BRA,2012,net_migration,-179707
BRA,2013,net_migration,-157228
BRA,2014,net_migration,-145732
BRA,2015,net_migration,-173611
BRA,2016,net_migration,-92989
BRA,2017,net_migration,-156296
BRA,2018,net_migration,-230334
BRA,2019,net_migration,-129216
BRA,2020,net_migration,-78437
BRA,2021,net_migration,-208581
BRA,2022,net_migration,-253639
BRA,2023,net_migration,-240059
BRA,1960,total_population,72388126
BRA,1961,total_population,74605447
BRA,1962,total_population,76865323
BRA,1963,total_population,79164235
BRA,1964,total_population,81488595
BRA,1965,total_population,83817583
BRA,1966,total_population,86139359
BRA,1967,total_population,88446124
BRA,1968,total_population,90741240
BRA,1969,total_population,93045777
BRA,1970,total_population,95375651
BRA,1971,total_population,97739273
BRA,1972,total_population,100146797
BRA,1973,total_population,102600976
BRA,1974,total_population,105089675
BRA,1975,total_population,107619565
BRA,1976,total_population,110213349
BRA,1977,total_population,112875292
BRA,1978,total_population,115600942
BRA,1979,total_population,118380821
BRA,1980,total_population,121207461
BRA,1981,total_population,124063109
BRA,1982,total_population,126923155
BRA,1983,total_population,129790077
BRA,1984,total_population,132658864
BRA,1985,total_population,135515595
BRA,1986,total_population,138336370
BRA,1987,total_population,141104944
BRA,1988,total_population,143826357
BRA,1989,total_population,146502972
BRA,1990,total_population,149143223
BRA,1991,total_population,151724256
BRA,1992,total_population,154275079
BRA,1993,total_population,156794577
BRA,1994,total_population,159265006
BRA,1995,total_population,161735073
BRA,1996,total_population,164202549
BRA,1997,total_population,166661659
BRA,1998,total_population,169159655
BRA,1999,total_population,171641543
BRA,2000,total_population,174018282
BRA,2001,total_population,176301203
BRA,2002,total_population,178503484
BRA,2003,total_population,180622688
BRA,2004,total_population,182675143
BRA,2005,total_population,184688101
BRA,2006,total_population,186653106
BRA,2007,total_population,188552320
BRA,2008,total_population,190367302
BRA,2009,total_population,192079951
BRA,2010,total_population,193701929
BRA,2011,total_population,195284734
BRA,2012,total_population,196876111
BRA,2013,total_population,198478299
BRA,2014,total_population,200085127
BRA,2015,total_population,201675532
BRA,2016,total_population,203218114
BRA,2017,total_population,204703445
BRA,2018,total_population,206107261
BRA,2019,total_population,207455459
BRA,2020,total_population,208660842
BRA,2021,total_population,209550294
BRA,2022,total_population,210306415
BRA,2023,total_population,211140729
CAN,1991,emp_to_pop,59.395
CAN,1992,emp_to_pop,57.989
CAN,1993,emp_to_pop,57.548
CAN,1994,emp_to_pop,58.02
CAN,1995,emp_to_pop,58.293
CAN,1996,emp_to_pop,58.046
CAN,1997,emp_to_pop,58.558
CAN,1998,emp_to_pop,59.317
CAN,1999,emp_to_pop,60.138
CAN,2000,emp_to_pop,60.832
CAN,2001,emp_to_pop,60.69
CAN,2002,emp_to_pop,61.298
CAN,2003,emp_to_pop,62.028
CAN,2004,emp_to_pop,62.239
CAN,2005,emp_to_pop,62.221
CAN,2006,emp_to_pop,62.495
CAN,2007,emp_to_pop,62.978
CAN,2008,emp_to_pop,63.041
CAN,2009,emp_to_pop,61.288
CAN,2010,emp_to_pop,61.275
CAN,2011,emp_to_pop,61.508
CAN,2012,emp_to_pop,61.638
CAN,2013,emp_to_pop,61.788
CAN,2014,emp_to_pop,61.385
CAN,2015,emp_to_pop,61.311
CAN,2016,emp_to_pop,61.018
CAN,2017,emp_to_pop,61.564
CAN,2018,emp_to_pop,61.721
CAN,2019,emp_to_pop,62.065
CAN,2020,emp_to_pop,57.907
CAN,2021,emp_to_pop,60.288
CAN,2022,emp_to_pop,61.802
CAN,2023,emp_to_pop,61.822
CAN,1960,fertility_rate,3.811
CAN,1961,fertility_rate,3.753
CAN,1962,fertility_rate,3.681
CAN,1963,fertility_rate,3.607
CAN,1964,fertility_rate,3.456
CAN,1965,fertility_rate,3.115
CAN,1966,fertility_rate,2.749
CAN,1967,fertility_rate,2.528
CAN,1968,fertility_rate,2.386
CAN,1969,fertility_rate,2.334
CAN,1970,fertility_rate,2.258
CAN,1971,fertility_rate,2.141
CAN,1972,fertility_rate,1.98
CAN,1973,fertility_rate,1.89
CAN,1974,fertility_rate,1.837
CAN,1975,fertility_rate,1.824
CAN,1976,fertility_rate,1.796
CAN,1977,fertility_rate,1.782
CAN,1978,fertility_rate,1.768
CAN,1979,fertility_rate,1.754
CAN,1980,fertility_rate,1.74
CAN,1981,fertility_rate,1.7
CAN,1982,fertility_rate,1.69
CAN,1983,fertility_rate,1.68
CAN,1984,fertility_rate,1.65
CAN,1985,fertility_rate,1.67
CAN,1986,fertility_rate,1.675
CAN,1987,fertility_rate,1.68
CAN,1988,fertility_rate,1.68
CAN,1989,fertility_rate,1.77
CAN,1990,fertility_rate,1.83
CAN,1991,fertility_rate,1.72
CAN,1992,fertility_rate,1.71
CAN,1993,fertility_rate,1.69
CAN,1994,fertility_rate,1.69
CAN,1995,fertility_rate,1.67
CAN,1996,fertility_rate,1.63
CAN,1997,fertility_rate,1.57
CAN,1998,fertility_rate,1.56
CAN,1999,fertility_rate,1.55
CAN,2000,fertility_rate,1.51
CAN,2001,fertility_rate,1.54
CAN,2002,fertility_rate,1.52
CAN,2003,fertility_rate,1.55
CAN,2004,fertility_rate,1.56
CAN,2005,fertility_rate,1.58
CAN,2006,fertility_rate,1.63
CAN,2007,fertility_rate,1.67
CAN,2008,fertility_rate,1.7
CAN,2009,fertility_rate,1.69
CAN,2010,fertility_rate,1.65
CAN,2011,fertility_rate,1.63
CAN,2012,fertility_rate,1.63
CAN,2013,fertility_rate,1.61
CAN,2014,fertility_rate,1.61
CAN,2015,fertility_rate,1.6
CAN,2016,fertility_rate,1.59
CAN,2017,fertility_rate,1.55
CAN,2018,fertility_rate,1.51
CAN,2019,fertility_rate,1.47
CAN,2020,fertility_rate,1.41
CAN,2021,fertility_rate,1.44
